COLD HOMES NEED HEAT 
BLACK DOG BIT THIEVES 
SMART GUYS FIX THINGS 
RED CAT ATE RATS 
FAST CAR HIT WALLS 
SWEET BOYS KISS GIRLS 
NICE DAD HELD SONS 
GOOD MINDS SAVE LIVES 
DRY FUR RUBS SKIN 
GREAT GOAT CLIMBS HILLS 
HOT TEA BURNS TONGUES 
WISE TEEN READ BOOKS 
POOR MEN WANT WORK 
CLEAR WORDS MAKE SENSE 
SLOW WOLF STOLE EGGS 
BRAVE VOTES HELP TOWNS 
MAD WIFE BROKE PLATES 
FAT KID LIKES FOOD 
BIG CHIMPS THROW FRUIT 
YOUNG FANS CHEER STARS 
LOUD SOUND HURTS EARS 
SHARP KNIFE CUTS ROPES 
HARD ROCKS SMASH HEADS 
FINE CHEFS COOK MEALS 
BRIGHT QUEENS WEAR CROWNS 
SICK TRAMP DRANK WINE 
ILL TREES LOST LEAFS 
THICK SMOKE KILLS BEES 
BORED MUM DID STUFF 
DARK LORD THREW SPELLS 
RICH COUNTS OWN LANDS 
LONG WALKS STRAIN LEGS 
GREY SHIP FIRES BOMBS 
LARGE PLANES CROSS CLOUDS 
SMALL BOAT FOUGHT WAVES 
OLD KING LOVES DEER 


