KIND HOST GAVE BEERS 
COOL BANDS PLAY SONGS 
FUN JOKES PLEASE CROWDS 
PURE GAS LIGHTS LAMPS 
SKILLED SMITHS CRAFT STEEL 
NEW STAFF BROKE RULES 
STRICT LAW HAD FLAWS 
WEAK BIRDS BUILT NESTS 
GREEN BUG SEEKS HOLES 
TALL SLAVES POUR TEA 
BOLD COP BEATS CRIME 
BROWN BEARS FEED CUBS 
CUTE PUG FELT PAIN 
TOUGH SCENE SHOWS BLOOD 
TIRED AUNT BAKES CAKES 
WARM RAIN MELT SNOW 
FLAT FEET CAUSE ACHES 
STARVED HOUNDS CHASE TRUCKS 
HUGE SPOON BROUGHT SOUP 
STRONG WIND SHUTS DOORS 
ODD CLOWN SANG TALES 
BEST FRIENDS END STRESS 
SHORT DWARFS FORGE SWORDS 
WHITE SHARK SCARES FISH 
THIN GUARDS SWIPE CARDS 
BLUE PEN LEAKS INK 
HIGH HEELS SQUEEZE TOES 
BLUNT AXE CHOPS WOOD 
WORN TOYS WOUND HANDS 
QUICK FOX CAUGHT HENS 
GRAND BRANCH BLOCKS STREETS 
DEEP ROCK HID GOLD 
WET DIRT SOIL SOCKS 
PINK SQUID SINKS RAFTS 
VAST SPACE LACKS AIR 
SLICK CROOKS STEAL RINGS 

