NEED BIT FIX ATE 
HOMES DOG GUYS CAT 
HEAT THIEVES THINGS RATS 
COLD BLACK SMART RED 
HIT KISS HELD SAVE 
CAR BOYS DAD MINDS 
WALLS GIRLS SONS LIVES 
FAST SWEET NICE GOOD 
RUBS CLIMBS BURNS READ 
FUR GOAT TEA TEEN 
SKIN HILLS TONGUES BOOKS 
DRY GREAT HOT WISE 
WANT MAKE STOLE HELP 
MEN WORDS WOLF VOTES 
WORK SENSE EGGS TOWNS 
POOR CLEAR SLOW BRAVE 
BROKE LIKES THROW CHEER 
WIFE KID CHIMPS FANS 
PLATES FOOD FRUIT STARS 
MAD FAT BIG YOUNG 
HURTS CUTS SMASH COOK 
SOUND KNIFE ROCKS CHEFS 
EARS ROPES HEADS MEALS 
LOUD SHARP HARD FINE 
WEAR DRANK LOST KILLS 
QUEENS TRAMP TREES SMOKE 
CROWNS WINE LEAFS BEES 
BRIGHT SICK ILL THICK 
DID THREW OWN STRAIN 
MUM LORD COUNTS WALKS 
STUFF SPELLS LANDS LEGS 
BORED DARK RICH LONG 
FIRES CROSS FOUGHT LOVES 
SHIP PLANES BOAT KING 
BOMBS CLOUDS WAVES DEER 
GREY LARGE SMALL OLD 

