GAVE PLAY PLEASE LIGHTS 
HOST BANDS JOKES GAS 
BEERS SONGS CROWDS LAMPS 
KIND COOL FUN PURE 
CRAFT BROKE HAD BUILT 
SMITHS STAFF LAW BIRDS 
STEEL RULES FLAWS NESTS 
SKILLED NEW STRICT WEAK 
SEEKS POUR BEATS FEED 
BUG SLAVES COP BEARS 
HOLES TEA CRIME CUBS 
GREEN TALL BOLD BROWN 
FELT SHOWS BAKES MELT 
PUG SCENE AUNT RAIN 
PAIN BLOOD CAKES SNOW 
CUTE TOUGH TIRED WARM 
CAUSE CHASE BROUGHT SHUTS 
FEET HOUNDS SPOON WIND 
ACHES TRUCKS SOUP DOORS 
FLAT STARVED HUGE STRONG 
SANG END FORGE SCARES 
CLOWN FRIENDS DWARFS SHARK 
TALES STRESS SWORDS FISH 
ODD BEST SHORT WHITE 
SWIPE LEAKS SQUEEZE CHOPS 
GUARDS PEN HEELS AXE 
CARDS INK TOES WOOD 
THIN BLUE HIGH BLUNT 
WOUND CAUGHT BLOCKS HID 
TOYS FOX BRANCH ROCK 
HANDS HENS STREETS GOLD 
WORN QUICK GRAND DEEP 
SOIL SINKS LACKS STEAL 
DIRT SQUID SPACE CROOKS 
SOCKS RAFTS AIR RINGS 
WET PINK VAST SLICK 
